启航充值表$,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 16,Unnamed: 17
,,,,,,,,,,
,,,,,,,,,,
"财务统计
STATISTICS",收支明细 DETAIL,,,,,,,,,
,序号,日期,收入（$）,,,支出（$）,,,,
月份查询,,,项目,金额（$）,备注,项目,金额（$）,备注,111000.64,账单户广告费
6月,1,2024-06-01 00:00:00,5月结余,12134.17,,,,,125873.28,启航广告费
收入,2,2024-06-01 00:00:00,,,,账单户广告费,10000,13:38:00,0.0,小h广告费
271134.17,3,2024-06-01 00:00:00,转入备用金,10000,13：49,,,,10000.0,飞书广告费
支出,4,2024-06-01 00:00:00,,,,广告配套,3470,账单户16：59,5967.0,广告配套
252840.92,5,2024-06-02 00:00:00,,,,账单户广告费,6000,18:23:00,,
结余,6,2024-06-03 00:00:00,转入备用金,10000,12：47,,,,,
18293.25,7,2024-06-03 00:00:00,,,,启航广告费,1515,15：43,,
,8,2024-06-03 00:00:00,,,,启航广告费,221.39,17：21,,
,9,2024-06-03 00:00:00,,,,启航广告费,1010,17：28,,
,10,2024-06-03 00:00:00,,,,启航广告费,1515,18：35,,
,11,2024-06-03 00:00:00,,,,启航广告费,1010,19：43,,
,12,2024-06-03 00:00:00,,,,启航广告费,1515,19：52,,
,13,2024-06-03 00:00:00,,,,启航广告费,505,20：03,,
,14,2024-06-03 00:00:00,,,,启航广告费,1010,20：15,,
,15,2024-06-03 00:00:00,,,,启航广告费,3030,20：32,,
,16,2024-06-03 00:00:00,转入备用金,15000,,,,,,
,17,2024-06-03 00:00:00,,,,启航广告费,1010,21：50,,
,18,2024-06-04 00:00:00,,,,启航广告费,2020,08：49,,
,19,2024-06-04 00:00:00,,,,启航广告费,2020,09：22,,
,20,2024-06-04 00:00:00,,,,启航广告费,1010,10：39,,
,21,2024-06-04 00:00:00,,,,启航广告费,2020,10：53,,
,22,2024-06-04 00:00:00,,,,启航广告费,2020,13：51,,
,23,2024-06-04 00:00:00,,,,启航广告费,505,15：36,,
,24,2024-06-04 00:00:00,转入备用金,20000,,,,,,
,25,2024-06-04 00:00:00,,,,启航广告费,7575,17：33,,
,26,2024-06-04 00:00:00,,,,启航广告费,1010,19：40,,
,27,2024-06-04 00:00:00,,,,启航广告费,4545,20：40,,
,28,2024-06-04 00:00:00,,,,启航广告费,1515,21：19,,
,29,2024-06-05 00:00:00,,,,启航广告费,505,08：43,,
,30,2024-06-05 00:00:00,,,,启航广告费,2020,10：49,,
,31,2024-06-05 00:00:00,,,,启航广告费,2525,11：35,,
,32,2024-06-05 00:00:00,,,,启航广告费,505,13：51,,
,33,2024-06-05 00:00:00,转入备用金,30000,17：31,,,,,
,34,2024-06-05 00:00:00,,,,启航广告费,6060,17：32,,
,35,2024-06-05 00:00:00,,,,启航广告费,1515,20：48,,
,36,2024-06-05 00:00:00,,,,启航广告费,2020,20：52,,
,37,2024-06-05 00:00:00,,,,启航广告费,4040,21：33,,
,38,2024-06-05 00:00:00,,,,启航广告费,3030,22：15,,
,39,2024-06-06 00:00:00,,,,启航广告费,1122.82,20：15,,
