6月收支财务报表,Unnamed: 3,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"财务统计
STATISTICS",,6月收支明细 DETAIL,,,,,,,,,,,,,
,,序号,日期,收入,,,,支出,,,,,,,
月份查询,,,,项目,金额,备注,时间,项目,金额,备注,时间,1370508.19,账单户广告费,,
6月,▼,1,2024-05-31 00:00:00,5月结余,9637.058,,,,,,,309169.84,启航广告费,,
收入,,2,2024-06-01 00:00:00,,,,,启航广告费,10000,启航备用金,13:49:00,29290,小h广告费,,
1964389.588,,3,2024-06-01 00:00:00,,,,,广告配套,357,账单户,17:03:00,101000,飞书广告费,,
支出,,4,2024-06-02 00:00:00,,,,,广告配套,51.5,FB个号,16:42:00,15994.44,远程佣金,,
1960291.6,,5,2024-06-02 00:00:00,金鑫印度8期（16000）,20000,,21:43:00,,,,,26123.1,广告配套,,
结余,,6,2024-06-03 00:00:00,后勤,50000,,10:07:00,后勤,50000,后勤转回,11:47:00,400000,金鑫印度8期（16000）,,
4097.988,,7,2024-06-03 00:00:00,六亿(40000粉）6月,50000,,12:03:00,账单户广告费,15000,账单户,12:41:00,325000,六亿(40000粉）6月,425000.0,总
,,8,2024-06-03 00:00:00,,,,,启航广告费,10000,启航备用金,12:45:00,23870,代理一期（5000）亚瑟,,
任意时段查询,,9,2024-06-03 00:00:00,代理一期（5000）亚瑟,11000,,17:14:00,广告配套,385,账单户,18:35:00,25000,澳大利亚，股票/二群—FB/6月,,
起始日期：,,10,2024-06-03 00:00:00,,,,,账单户广告费,20000,账单户,19:15:00,125000,叶凡（16800）6月,175000.0,总
2024-01-01 00:00:00,,11,2024-06-03 00:00:00,,,,,账单户广告费,18000,账单户,21:04:00,20000,英國精粉測試（zhang）,,
结束日期：,,12,2024-06-03 00:00:00,,,,,启航广告费,15000,启航备用金,21:04:00,70000,印度一期（10000）,,
2099-04-30 00:00:00,,13,2024-06-03 00:00:00,六亿(40000粉）6月,10,,21:26:00,,,,,230000,郭大侠3期（10000）,,
收入,,14,2024-06-03 00:00:00,六亿(40000粉）6月,49990,,21:38:00,,,,,124195,金鑫海哥5000粉 6.18,,
1964389.588,,15,2024-06-03 00:00:00,金鑫印度8期（16000）,50000,,21:42:00,,,,,30000,印度度假村（发财组14000),,
支出,,16,2024-06-03 00:00:00,澳大利亚，股票/二群—FB/6月,10000,,22:21:00,账单户广告费,22000,账单户,22:27:00,150000,发财（17000）,,
1960291.6,,17,2024-06-04 00:00:00,,,,,账单户广告费,25000,账单户,09:11:00,380000,印度10期（20000）阿乐,,
结余,,18,2024-06-04 00:00:00,,,,,广告配套,51.5,FB个号,11:25:00,,,,
4097.988,,19,2024-06-04 00:00:00,,,,,广告配套,140,IP,14:38:00,,,,
,,20,2024-06-04 00:00:00,叶凡（16800）6月,11,,15:19:00,,,,,,,,
