日期,地区,投手,账户名称/ID,账户种类,代理商,转点截图Today MAX,转点截图yesterday MAX,备注,手续费,实际消耗,"包含手续费
的消耗",开户费
2025-10-01,印度,HY,BA VORNIX 9  1412307579460468,印尼企业户,印度户印尼企业户,5453.585,2944.187125,,200.75183,2509.397875,2710.149705,
2025-10-01,印度,MY,BA VORNIX 9  1412307579460468,印尼企业户,印度户印尼企业户,132802.6148,132802.6148,,0.0,0.0,0.0,
2025-10-01,印度,HW,BA VORNIX 2  1159503902059269,印尼企业户,印度户印尼企业户,35598.19006,33301.8925,,183.703805,2296.297563,2480.001368,
2025-10-01,印度,JK,BA GLADIUS 4  936002028210213,印尼企业户,印度户印尼企业户,25279.54,24295.42,,88.5708,984.12,1072.6908,
2025-10-01,印度,YJ,BA GLADIUS 4  936002028210213,印尼企业户,印度户印尼企业户,3467.56,3131.26,,30.267,336.3,366.567,
2025-10-01,印度,FD,BA GLADIUS 4  936002028210213,印尼企业户,印度户印尼企业户,1478.26,1355.7,,11.0304,122.56,133.5904,
2025-10-01,印度,XH,FDIL-XM-0926(+8)-3-mass  2260184294431435,美金户,三不限美国户-8%,36.18,,,2.8944,36.18,39.0744,
2025-10-01,印度,YJ,Books-ZK+8-QQB-533  1117734213660451,美金户,海总&志诚三不限,6.53,,,0.4571,6.53,6.9871,
2025-10-02,印度,HW,BA VORNIX 2  1159503902059269,印尼企业户,印度户印尼企业户,37395.20988,35598.19006,,143.761585,1797.019813,1940.781398,
2025-10-02,印度,JK,BA GLADIUS 4  936002028210213,印尼企业户,印度户印尼企业户,26594.13,25279.54,,118.3131,1314.59,1432.9031,
2025-10-02,印度,FD,BA GLADIUS 4  936002028210213,印尼企业户,印度户印尼企业户,2548.09,1478.26,,96.2847,1069.83,1166.1147,
2025-10-02,印度,XH,FDIL-XM-0926(+8)-3-mass  2260184294431435,美金户,三不限美国户-8%,117.36,36.18,,6.4944,81.18,87.6744,
2025-10-02,印度,LM,BA GLADIUS 4  936002028210213,印尼企业户,印度户印尼企业户,123.9,114.76,,0.8226,9.14,9.9626,
2025-10-02,印度,HY,BA VORNIX 9  1412307579460468,印尼企业户,印度户印尼企业户,7829.909188,5453.585,,190.105935,2376.324188,2566.430123,
2025-10-03,印度,HY,BA VORNIX 9  1412307579460468,印尼企业户,印度户印尼企业户,9061.320688,7829.909188,,98.51292,1231.4115,1329.92442,
2025-10-03,印度,JK,BA GLADIUS 4  936002028210213,印尼企业户,印度户印尼企业户,27003.42,26594.13,,36.8361,409.29,446.1261,
2025-10-03,印度,FD,BA GLADIUS 4  936002028210213,印尼企业户,印度户印尼企业户,2707.51,2548.09,,14.3478,159.42,173.7678,
2025-10-03,印度,LM,BA GLADIUS 4  936002028210213,印尼企业户,印度户印尼企业户,150.72,123.9,,2.4138,26.82,29.2338,
2025-10-03,印度,HW,BA VORNIX 2  1159503902059269,印尼企业户,印度户印尼企业户,37721.4435,37395.20988,,26.09869,326.233625,352.332315,
2025-10-03,印度,XH,FDIL-XM-0926(+8)-3-mass  2260184294431435,美金户,三不限美国户-8%,132.66,117.36,,1.224,15.3,16.524,
2025-10-03,印度,YJ,BA GLADIUS 4  936002028210213,印尼企业户,印度户印尼企业户,5062.38,3467.56,,143.5338,1594.82,1738.3538,
