10月收支财务报表,Unnamed: 3,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,,,,,,,,,,,
,,,,,,,,,,,
"财务统计
STATISTICS",,10月收支明细 DETAIL,,,,,,,,,
,,序号,日期,收入,,,,支出,,,
月份查询,,,,项目,金额（¥）,备注,时间,项目,金额（¥）,备注,时间
10月,▼,1,2024-10-01 00:00:00,9月剩余,2086.86,,,,,,
收入,,2,2024-10-10 00:00:00,,,,,广告配套,43.15,100个浏览器环境（剩余6天）,11:18:00
2086.86,,3,2024-10-14 00:00:00,,,,,转入总备用金,2043.71,,
支出,,4,,,,,,,,,
2086.86,,5,,,,,,,,,
结余,,6,,,,,,,,,
0,,7,,,,,,,,,
,,8,,,,,,,,,
任意时段查询,,9,,,,,,,,,
起始日期：,,10,,,,,,,,,
2024-01-01 00:00:00,,11,,,,,,,,,
结束日期：,,12,,,,,,,,,
2099-04-30 00:00:00,,13,,,,,,,,,
收入,,14,,,,,,,,,
2086.86,,15,,,,,,,,,
支出,,16,,,,,,,,,
2086.86,,17,,,,,,,,,
结余,,18,,,,,,,,,
0,,19,,,,,,,,,
,,20,,,,,,,,,
,,21,,,,,,,,,
,,22,,,,,,,,,
,,23,,,,,,,,,
,,24,,,,,,,,,
,,25,,,,,,,,,
,,26,,,,,,,,,
,,27,,,,,,,,,
,,28,,,,,,,,,
,,29,,,,,,,,,
,,30,,,,,,,,,
,,31,,,,,,,,,
,,32,,,,,,,,,
,,33,,,,,,,,,
,,34,,,,,,,,,
,,35,,,,,,,,,
,,36,,,,,,,,,
,,37,,,,,,,,,
,,38,,,,,,,,,
,,39,,,,,,,,,
,,40,,,,,,,,,
,,41,,,,,,,,,
,,42,,,,,,,,,
,,43,,,,,,,,,
,,44,,,,,,,,,
,,45,,,,,,,,,
,,46,,,,,,,,,
,,47,,,,,,,,,
,,48,,,,,,,,,
,,49,,,,,,,,,
,,50,,,,,,,,,
,,51,,,,,,,,,
,,52,,,,,,,,,
,,53,,,,,,,,,
,,54,,,,,,,,,
,,55,,,,,,,,,
,,56,,,,,,,,,
,,57,,,,,,,,,
,,58,,,,,,,,,
,,59,,,,,,,,,
,,60,,,,,,,,,
,,61,,,,,,,,,
,,62,,,,,,,,,
,,63,,,,,,,,,
,,64,,,,,,,,,
,,65,,,,,,,,,
,,66,,,,,,,,,
,,67,,,,,,,,,
,,68,,,,,,,,,
,,69,,,,,,,,,
,,70,,,,,,,,,
,,71,,,,,,,,,
,,72,,,,,,,,,
,,73,,,,,,,,,
,,74,,,,,,,,,
,,75,,,,,,,,,
,,76,,,,,,,,,
,,77,,,,,,,,,
,,78,,,,,,,,,
,,79,,,,,,,,,
,,80,,,,,,,,,
,,81,,,,,,,,,
,,82,,,,,,,,,
,,83,,,,,,,,,
,,84,,,,,,,,,
,,85,,,,,,,,,
,,86,,,,,,,,,
,,87,,,,,,,,,
,,88,,,,,,,,,
,,89,,,,,,,,,
,,90,,,,,,,,,
,,91,,,,,,,,,
,,92,,,,,,,,,
,,93,,,,,,,,,
,,94,,,,,,,,,
