4月收支财务报表,Unnamed: 3,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 16,Unnamed: 17
,,,,,,,,,,,
,,,,,,,,,,,
"财务统计
STATISTICS",,4月收支明细 DETAIL,,,,,,,,,
,,序号,日期,收入,,,支出,,,8574,远程佣金
月份查询,,,,项目,金额,备注,项目,金额,备注,7448.922,广告配套
4月,▼,1,2024-04-01 00:00:00,阿光4期,60000,21:14:00,,,,410000,阿宝5期
收入,,2,2024-04-01 00:00:00,3月,19711.05,,,,,167000,阿特
1264211.05,,3,2024-04-02 00:00:00,,,,广告配套,50,FB个号11：07,77500,金鑫阿海
支出,,4,2024-04-02 00:00:00,,,,广告费,30000,18：17,450000,阿光4期
1265104.162,,5,2024-04-02 00:00:00,,,,广告费,20000,18：34,90000,阿亦印度
结余,,6,2024-04-03 00:00:00,,,,广告费,20000,10：27,1194500,总计
-893.112,,7,2024-04-03 00:00:00,阿光4期,60000,15：58,广告费,30000,16：44,,
,,8,2024-04-04 00:00:00,,,,广告费,30000,10：19,,
任意时段查询,,9,2024-04-04 00:00:00,阿光4期,60000,11：54,,,,,
起始日期：,,10,2024-04-04 00:00:00,金鑫阿海,12500,15：56汇旺,后勤,37500,汇旺,,
2024-01-01 00:00:00,,11,2024-04-04 00:00:00,金鑫阿海,25000,17：55汇旺,广告配套,25.8,FB个号16：20,,
结束日期：,,12,2024-04-04 00:00:00,,,,广告费,30000,17：48,,
2099-04-30 00:00:00,,13,2024-04-05 00:00:00,阿光4期,60000,14：47,广告费,20000,17：46,,
收入,,14,2024-04-06 00:00:00,,,,广告费,30000,10：57,,
1264211.05,,15,2024-04-06 00:00:00,阿光4期,50000,14：46,,,,,
支出,,16,2024-04-07 00:00:00,,,,广告费,30000,10：40,,
1265104.162,,17,2024-04-07 00:00:00,阿光4期,60000,15：54,远程佣金,1514,佣金16：28,史戈3/29-4/3代投佣金,
结余,,18,2024-04-07 00:00:00,,,,广告配套,240,浏览器续费17：06,,
-893.112,,19,2024-04-07 00:00:00,金鑫阿海,12500,18：13汇旺,后勤,12500,汇旺,,
,,20,2024-04-07 00:00:00,金鑫阿海,15000,20:52汇旺,后勤,15000,汇旺,,
,,21,2024-04-07 00:00:00,,,,后勤,50000,汇旺22:11,,
,,22,2024-04-08 00:00:00,,,,广告费,30000,11：55,,
,,23,2024-04-08 00:00:00,阿光4期,50000,11：05,,,,,
,,24,2024-04-09 00:00:00,,,,广告费,30000,10：44,,
,,25,2024-04-09 00:00:00,阿光4期,50000,12：10,后勤,50000,汇旺15：07,,
,,26,2024-04-09 00:00:00,,,,广告费,30000,17：25,,
,,27,2024-04-09 00:00:00,金鑫阿海,12500,22:37汇旺,后勤,12500,汇旺,,
,,28,2024-04-09 00:00:00,,,,广告费,290,23:09:00,谷歌,
,,29,2024-04-10 00:00:00,,,,广告费,30000,11：10,,
,,30,2024-04-10 00:00:00,,,,广告配套,15.957,FB个号14：59,,
,,31,2024-04-10 00:00:00,,,,广告配套,8.43,FB个号15：04,,
