8月备用金充值表,Unnamed: 3,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 18,Unnamed: 19
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"财务统计
STATISTICS",,8月备用金充值明细 DETAIL,,,,,,,,,,,
,,序号,日期,收入,,,,支出,,,,,
月份查询,,,,项目,金额,备注,时间,项目,金额,备注,时间,,
8月,▼,1,2024-08-01 00:00:00,7月结余,649.68,,,,,,,0.0,账单户广告费
收入,,2,2024-08-01 00:00:00,,,,,广告配套,415.52,BM5：个号,00:01:00,3793.42,启航广告费
13794.68,,3,2024-08-02 00:00:00,,,,,退回,234.16,,09：05,0.0,小h广告费
支出,,4,2024-08-02 00:00:00,转入备用金,10000,,18：10,,,,,0.0,飞书广告费
13794.68,,5,2024-08-03 00:00:00,,,,,广告配套,632,狗头账单户30,17：02,2642.24,广告配套
结余,,6,2024-08-03 00:00:00,,,,,wade- 海外户对接nancy,5500,nancy海外户广告费,23：13,0.0,fb广告费充值
0,,7,2024-08-04 00:00:00,,,,,广告配套,591,狗头账单户30,19：37,0.0,广告费
,,8,2024-08-06 00:00:00,,,,,广告配套,419.72,BM5：个号,15：27,,
任意时段查询,,9,2024-08-06 00:00:00,,,,,广告配套,222,yanglin 防护,17：28,,
起始日期：,,10,2024-08-09 00:00:00,退款,105,wade shen 美金谷歌户25+5%,15：39,,,,,,
2024-01-01 00:00:00,,11,2024-08-10 00:00:00,退款,3040,shen-美丽🇺🇸对接群,17：04,,,,,,
结束日期：,,12,2024-08-16 00:00:00,,,,,广告配套,222,防护,15:57:00,,
2099-04-30 00:00:00,,13,2024-08-16 00:00:00,,,,,广告配套,140,计数器,23:18:00,,
收入,,14,2024-08-17 00:00:00,,,,,启航广告费,1268.42,,17:22:00,,
13794.68,,15,2024-08-20 00:00:00,,,,,启航广告费,2525,,15：21,,
支出,,16,2024-08-24 00:00:00,,,,,转回,1624.86,,12:51:00,,
13794.68,,17,,,,,,,,,,,
结余,,18,,,,,,,,,,,
0,,19,,,,,,,,,,,
,,20,,,,,,,,,,,
,,21,,,,,,,,,,,
,,22,,,,,,,,,,,
,,23,,,,,,,,,,,
,,24,,,,,,,,,,,
,,25,,,,,,,,,,,
,,26,,,,,,,,,,,
,,27,,,,,,,,,,,
,,28,,,,,,,,,,,
,,29,,,,,,,,,,,
,,30,,,,,,,,,,,
,,31,,,,,,,,,,,
,,32,,,,,,,,,,,
,,33,,,,,,,,,,,
,,34,,,,,,,,,,,
,,35,,,,,,,,,,,
,,36,,,,,,,,,,,
,,37,,,,,,,,,,,
,,38,,,,,,,,,,,
,,39,,,,,,,,,,,
,,40,,,,,,,,,,,
,,41,,,,,,,,,,,
,,42,,,,,,,,,,,
,,43,,,,,,,,,,,
,,44,,,,,,,,,,,
,,45,,,,,,,,,,,
,,46,,,,,,,,,,,
,,47,,,,,,,,,,,
,,48,,,,,,,,,,,
,,49,,,,,,,,,,,
,,50,,,,,,,,,,,
,,51,,,,,,,,,,,
,,52,,,,,,,,,,,
,,53,,,,,,,,,,,
