日期,地区,投手,账户名称/ID,账户种类,代理商,转点截图Today MAX,转点截图yesterday MAX,备注,手续费,实际消耗,"包含手续费
的消耗",开户费
2025-09-01,印度,MY,BA VORNIX 9  1412307579460468,印尼企业户,印度户印尼企业户,76776.2705,76257.95231,,41.465455,518.3181875,559.7836425,
2025-09-01,印度,MY,SUPER-NE+7-THB-11  1771730779699928,泰国泰铢老户,GT&SHEN 欧洲户８＋１ 港60+5+1,60.45766667,,,4.836613333,60.45766667,65.29428,
2025-09-01,印度,HY,BA VORNIX 9  1412307579460468,印尼企业户,印度户印尼企业户,893.827625,634.6835,,20.73153,259.144125,279.875655,
2025-09-01,西班牙,YK,SUPER-NE+7-THB-01 296827592544943,泰国泰铢老户,GT&SHEN 欧洲户８＋１ 港60+5+1,136.0683333,20.95133333,,9.20936,115.117,124.32636,
2025-09-01,西班牙,YK,GOGO-ZDD-ADA-7-GX-114  1498233424879693,越南户,海总&志诚三不限,313.39476,16.07728,,29.731748,297.31748,327.049228,
2025-09-01,西班牙,YK,Books-ZK-7-QQB-191  1953330738777235,直客户,海总&志诚三不限,154.25172,,,10.7976204,154.25172,165.0493404,
2025-09-01,意大利,YJ,"KKda Co.,Limited+3-032  1614094699994364",美金户,B哥-欧洲户10➕1,1003.39,966.71,,4.0348,36.68,40.7148,
2025-09-01,印度,ZJ,BA GLADIUS 4  936002028210213,印尼企业户,印度户印尼企业户,14251.27,13643.22,,54.7245,608.05,662.7745,
2025-09-01,印度,HW,RY-A9218-B0000(+7)-137  779591877738176,美金户,路人互动-海总（30-9）山,157.08,99.91,,5.1453,57.17,62.3153,
2025-09-01,印度,HW,GOGO-ZDD-ADA+7-GX-571  1550344338869180,越南户,海总&志诚三不限,48.74456,41.25048,,0.749408,7.49408,8.243488,
2025-09-01,印度,MY,FIE-US-P8-CL-39  567943426263812,企业额度户,海总&志诚三不限,,17.1,历史消耗,,,,
2025-09-01,意大利,HW,OO - 2091 - Devianto - 405  2649419365236089,印尼户,印度户印尼企业户,,10.937625,历史消耗,,,,
2025-09-01,意大利,YJ,OO - 2058 - Devianto - 404  892716822646895,印尼户,印度户印尼企业户,,10.937625,历史消耗,,,,
2025-09-02,西班牙,YK,GOGO-ZDD-ADA-7-GX-114  1498233424879693,越南户,海总&志诚三不限,1189.96128,313.39476,,87.656652,876.56652,964.223172,
2025-09-02,西班牙,YK,Books-ZK-7-QQB-191  1953330738777235,直客户,海总&志诚三不限,665.6166,154.25172,,35.7955416,511.36488,547.1604216,
2025-09-02,德国,YK,GOGO-ZDD-ADA-7-GX-120  1090207259175102,越南户,海总&志诚三不限,198.77468,78.2082,,12.056648,120.56648,132.623128,
2025-09-02,德国,YK,JNS-MIG-GoldP-backup--7-102  758968449073066,美金户,印度企业户 欧洲美金户,102.14,28.0,,9.6382,74.14,83.7782,
2025-09-02,印度,ZJ,BA GLADIUS 4  936002028210213,印尼企业户,印度户印尼企业户,14591.75,14251.27,,30.6432,340.48,371.1232,
2025-09-02,印度,HY,BA VORNIX 9  1412307579460468,印尼企业户,印度户印尼企业户,1001.366063,893.827625,,8.603075,107.5384375,116.1415125,
2025-09-02,印度,HY,Books-ZK-7-QQB-136  1425792615439502,直客户,海总&志诚三不限,116.17,11.03,,7.3598,105.14,112.4998,
2025-09-02,印度,MY,BA VORNIX 9  1412307579460468,印尼企业户,印度户印尼企业户,79541.52888,76776.2705,,221.22067,2765.258375,2986.479045,
2025-09-02,印度,MY,SUPER-NE+7-THB-11  1771730779699928,泰国泰铢老户,GT&SHEN 欧洲户８＋１ 港60+5+1,191.127,60.45766667,,10.45354667,130.6693333,141.12288,
2025-09-02,西班牙,YJ,GOGO-ZDD-ADA-7-GX-113  2954453418072138,越南户,海总&志诚三不限,40.98008,,,4.098008,40.98008,45.078088,
2025-09-03,西班牙,YK,GOGO-ZDD-ADA-7-GX-114  1498233424879693,越南户,海总&志诚三不限,2171.79328,1189.96128,,98.1832,981.832,1080.0152,
2025-09-03,西班牙,YK,Books-ZK-7-QQB-191  1953330738777235,直客户,海总&志诚三不限,1098.11868,665.6166,,30.2751456,432.50208,462.7772256,
2025-09-03,印度,MY,BA VORNIX 9  1412307579460468,印尼企业户,印度户印尼企业户,82104.39375,79541.52888,,205.02919,2562.864875,2767.894065,
2025-09-03,印度,MY,SUPER-NE+7-THB-11  1771730779699928,泰国泰铢老户,GT&SHEN 欧洲户８＋１ 港60+5+1,635.5503333,191.127,,35.55386667,444.4233333,479.9772,
2025-09-03,印度,ZJ,BA GLADIUS 4  936002028210213,印尼企业户,印度户印尼企业户,14712.38,14591.75,,10.8567,120.63,131.4867,
2025-09-03,印度,HY,BA VORNIX 9  1412307579460468,印尼企业户,印度户印尼企业户,1373.797375,1001.366063,,29.794505,372.4313125,402.2258175,
2025-09-03,印度,HY,Books-ZK-7-QQB-136  1425792615439502,直客户,海总&志诚三不限,394.36,116.17,,19.4733,278.19,297.6633,
2025-09-03,德国,YJ,AAA4-YQHD-016  1246538053893074,美金户,Y-5208 FB欧/美户,181.56,,,19.9716,181.56,201.5316,
2025-09-04,印度,HW,Cho thuê 1229  1859534884979446,越南美金户,泰华-启航渠道,,342.89,历史消耗,,,,
2025-09-04,印度,HW,Cho thuê 1229  1859534884979446,越南美金户,泰华-启航渠道,428.38,342.89,,10.36242424,85.49,95.85242424,
2025-09-04,印度,HW,Cho thuê 1139  1051024353839221,越南美金户,泰华-启航渠道,,3096.86,历史消耗,,,,
2025-09-04,印度,HW,Cho thuê 1139  1051024353839221,越南美金户,泰华-启航渠道,3275.6,3096.86,,21.66545455,178.74,200.4054545,
2025-09-04,印度,HW,GOGO-ZDD-ADA+7-GX-571  1550344338869180,越南户,海总&志诚三不限,138.43824,48.74456,,8.969368,89.69368,98.663048,
2025-09-04,印度,HY,BA VORNIX 9  1412307579460468,印尼企业户,印度户印尼企业户,1750.53025,1373.797375,,30.13863,376.732875,406.871505,
2025-09-04,印度,MY,BA VORNIX 9  1412307579460468,印尼企业户,印度户印尼企业户,83029.56556,82104.39375,,74.013745,925.1718125,999.1855575,
2025-09-04,印度,MY,SUPER-NE+7-THB-11  1771730779699928,泰国泰铢老户,GT&SHEN 欧洲户８＋１ 港60+5+1,862.0833333,635.5503333,,18.12264,226.533,244.65564,
2025-09-04,西班牙,YK,GOGO-ZDD-ADA-7-GX-114  1498233424879693,越南户,海总&志诚三不限,2769.51132,2171.79328,,59.771804,597.71804,657.489844,
